name,price,original_price,discount,review_count,seller,availability,badges,link,category
NIVEA Gel Nettoyant Purifiant - Peaux mixtes à grasses - 2x150ml,85.00 Dhs,167.00 Dhs,49%,4,Jumia,Available,"['Boutique Officielle', '49%']",https://www.jumia.ma/nivea-gel-nettoyant-purifiant-peaux-mixtes-a-grasses-2x150ml-61016538.html,beaute-sante
NIVEA Démaquillant yeux - Double Action - 2x125ml,80.00 Dhs,145.00 Dhs,45%,4.6,Jumia,Available,"['Boutique Officielle', '45%']",https://www.jumia.ma/nivea-demaquillant-yeux-double-action-2x125ml-61016537.html,beaute-sante
"Now Foods Omega 3 Fish Oil,180 mg d'EPA/120 mg de DHA per Soft 100 Capsules",190.00 Dhs,312.90 Dhs,39%,4.1,Jumia,Available,['39%'],https://www.jumia.ma/now-foods-omega-3-fish-oil180-mg-depa120-mg-de-dha-per-soft-100-capsules-65589824.html,beaute-sante
NutriPulse Probiotiques Colon Plus 5 billion CFU Équilibre Intestinal & Santé Digestive 60 Gélules,110.00 Dhs,192.82 Dhs,43%,3.6,Jumia,Available,['43%'],https://www.jumia.ma/nutripulse-probiotiques-colon-plus-5-billion-cfu-equilibre-intestinal-sante-digestive-60-gelules-65607693.html,beaute-sante
L'Oréal Paris Offre Spéciale Hyaluron Expert Sérum Yeux à l'Acide Hyauronique = Mini Goasha + Roller visage Offerts,122.00 Dhs,152.00 Dhs,20%,3.9,Jumia,Available,"['Boutique Officielle', '20%']",https://www.jumia.ma/loreal-paris-offre-speciale-hyaluron-expert-serum-yeux-a-lacide-hyauronique-mini-goasha-roller-visage-offerts-65112710.html,beaute-sante
L'Oréal Professionnel Paris Serie Expert - Absolut Repair Molecular - Shampooing - 300ml,190.00 Dhs,232.00 Dhs,18%,4.3,Jumia,Available,"['Boutique Officielle', '18%']",https://www.jumia.ma/loreal-professionnel-paris-serie-expert-absolut-repair-molecular-shampooing-300ml-65622250.html,beaute-sante
NIVEA SUN Lait Protecteur au Carotène - SPF 6 - 200ml.,83.00 Dhs,96.00 Dhs,14%,4.1,Jumia,Available,"['Boutique Officielle', '14%']",https://www.jumia.ma/nivea-sun-lait-protecteur-au-carotene-spf-6-200ml.-66281510.html,beaute-sante
NIVEA Creme - Crème hydratante - boite 150ml,29.00 Dhs,38.00 Dhs,24%,4.5,Jumia,Available,"['Boutique Officielle', '24%']",https://www.jumia.ma/nivea-creme-creme-hydratante-boite-150ml-61016446.html,beaute-sante
"NutriPulse Propolis Defense Immunité, Anti-inflammatoire & Antioxydant 60 Gélules",105.00 Dhs,156.45 Dhs,33%,4.3,Jumia,Available,['33%'],https://www.jumia.ma/nutripulse-propolis-defense-immunite-anti-inflammatoire-antioxydant-60-gelules-65639443.html,beaute-sante
"Maybelline Gel, Crayon Yeux Effet Tatouage - Waterproof & Tenue 36h - Tattoo Liner - Teinte : ARCTIC SKIES",35.00 Dhs,51.00 Dhs,31%,4.4,Jumia,Available,"['Boutique Officielle', '31%']",https://www.jumia.ma/maybelline-gel-crayon-yeux-effet-tatouage-waterproof-tenue-36h-tattoo-liner-teinte-arctic-skies-65112650.html,beaute-sante
